Datetime,Open,High,Low,Close,Volume
2018-01-29 02:00:00,0.002,0.002945,0.0007564,0.0015445,3400411.22
2018-02-05 02:00:00,0.0015394,0.001589,0.001,0.0010275,14401887.64
2018-02-12 02:00:00,0.0010275,0.0011916,0.0008227,0.0008266,18639937.07
2018-02-19 02:00:00,0.0008259,0.0016962,0.0006012,0.0012914,74482213.82
2018-02-26 02:00:00,0.001291,0.00159,0.001185,0.001296,41730927.97
2018-03-05 02:00:00,0.0012956,0.001375,0.001008,0.0012112,23491453.51
2018-03-12 02:00:00,0.0012116,0.0012372,0.0007913,0.00101,17737739.65
2018-03-19 02:00:00,0.00101,0.0010774,0.00088,0.000896,20456789.16
2018-03-26 03:00:00,0.0008959,0.0009042,0.00074,0.0007631,11989646.59
2018-04-02 03:00:00,0.0007618,0.0008341,0.00072,0.000724,7466669.55
2018-04-09 03:00:00,0.0007246,0.000892,0.00068,0.000771,16056368.34
2018-04-16 03:00:00,0.0007729,0.0008799,0.000725,0.00081,14799130.52
2018-04-23 03:00:00,0.00081,0.0008915,0.000751,0.000878,14066449.3
2018-04-30 03:00:00,0.000878,0.001103,0.00085,0.0009116,31717460.31
2018-05-07 03:00:00,0.0009115,0.000918,0.0007001,0.0007661,13132557.94
2018-05-14 03:00:00,0.0007669,0.0007692,0.0006532,0.0006713,7453785.5
2018-05-21 03:00:00,0.0006713,0.000681,0.0005433,0.0005515,9893540.39
2018-05-28 03:00:00,0.0005514,0.0005795,0.0004888,0.0005494,14495593.79
2018-06-04 03:00:00,0.0005494,0.0005545,0.0004564,0.0004658,19430212.8
2018-06-11 03:00:00,0.000465,0.0005172,0.0003761,0.0004142,21178775.3
2018-06-18 03:00:00,0.0004144,0.00048,0.00035,0.000378,18163175.47
2018-06-25 03:00:00,0.000378,0.0004,0.0003411,0.0003909,12457835.8
2018-07-02 03:00:00,0.0003909,0.0004375,0.000385,0.0004073,12962589.53
2018-07-09 03:00:00,0.0004072,0.0004092,0.0003592,0.0003743,10726740.19
2018-07-16 03:00:00,0.0003743,0.0004186,0.000305,0.0003171,15118743.33
2018-07-23 03:00:00,0.0003157,0.0003211,0.0002587,0.0002658,13478696.69
2018-07-30 03:00:00,0.0002663,0.0002674,0.00018,0.0002284,19268260.39
2018-08-06 03:00:00,0.0002284,0.0002347,0.0001731,0.0001828,15771336.72
2018-08-13 03:00:00,0.0001833,0.0003164,0.000127,0.0002679,37806630.7
2018-08-20 03:00:00,0.0002679,0.000567,0.0002505,0.0005257,69741973.46
2018-08-27 03:00:00,0.0005257,0.0005265,0.00036,0.0004101,65791729.41
2018-09-03 03:00:00,0.00041,0.000439,0.0003075,0.0003164,38979975.55
2018-09-10 03:00:00,0.0003165,0.0004261,0.0002567,0.0003812,64326797.4
2018-09-17 03:00:00,0.0003811,0.0004082,0.0003348,0.0003582,43493221.53
2018-09-24 03:00:00,0.0003582,0.0003634,0.0003225,0.0003392,25993261.89
2018-10-01 03:00:00,0.0003392,0.0003531,0.0003163,0.0003287,7016364.03
2018-10-08 03:00:00,0.0003287,0.0003384,0.0002792,0.0002898,9149249.8
2018-10-15 03:00:00,0.0002886,0.0003349,0.0002661,0.0003137,16636225.79
2018-10-22 03:00:00,0.0003142,0.0003309,0.000298,0.0003108,9375116.48
2018-10-29 02:00:00,0.0003108,0.0003277,0.0002902,0.0003032,9233420.12
