Datetime,Open,High,Low,Close,Volume
2018-07-06 23:00:00,399.07,400.79,396.71,399.29,1118.97714914
2018-07-07 03:00:00,399.91,400.6,396.2,397.66,620.45564597
2018-07-07 07:00:00,397.71,402.57,397.57,400.0,2594.32336904
2018-07-07 11:00:00,400.0,400.45,397.47,399.6,1364.14954565
2018-07-07 15:00:00,399.6,401.54,392.53,397.2,2427.42688536
2018-07-07 19:00:00,397.19,398.46,396.01,396.61,1581.85563152
2018-07-07 23:00:00,396.65,413.84,395.33,412.67,12887.12905659
2018-07-08 03:00:00,412.68,417.8,410.1,410.5,5324.52854678
2018-07-08 07:00:00,410.5,414.19,410.5,412.39,1235.49519206
2018-07-08 11:00:00,412.39,413.07,411.7,412.97,1253.25659083
2018-07-08 15:00:00,412.97,422.24,411.5,416.57,4306.41451443
2018-07-08 19:00:00,416.59,418.4,415.3,417.51,1240.77158546
2018-07-08 23:00:00,417.68,417.68,412.81,413.72,2191.65405283
2018-07-09 03:00:00,413.72,414.72,408.0,410.3,1084.05612076
2018-07-09 07:00:00,410.3,412.65,408.0,411.04,1678.95469803
2018-07-09 11:00:00,411.02,411.49,406.46,408.72,2824.84512787
2018-07-09 15:00:00,408.88,409.51,406.72,407.53,2277.44106998
2018-07-09 19:00:00,407.54,407.67,402.27,405.56,2940.6747134
2018-07-09 23:00:00,405.56,412.63,400.0,400.13,7272.75013859
2018-07-10 03:00:00,400.68,402.48,389.12,390.99,4469.93088558
2018-07-10 07:00:00,390.69,394.94,386.18,389.31,6682.6973367
2018-07-10 11:00:00,389.31,391.1,365.0,371.91,18712.25821849
2018-07-10 15:00:00,371.44,377.29,368.33,375.46,8640.95709592
2018-07-10 19:00:00,375.45,378.0,370.0,372.97,3837.44927748
2018-07-10 23:00:00,372.97,376.96,366.39,369.37,4611.46786276
2018-07-11 03:00:00,369.23,375.86,367.23,369.3,3662.68695578
2018-07-11 07:00:00,368.64,373.41,362.54,370.6,6028.50013113
2018-07-11 11:00:00,371.34,381.91,370.84,378.73,5607.43512626
2018-07-11 15:00:00,378.76,380.88,374.36,374.72,4003.20341226
2018-07-11 19:00:00,374.69,376.46,370.1,373.1,3742.44420915
2018-07-11 23:00:00,373.4,381.33,373.1,381.22,2381.52212725
2018-07-12 03:00:00,381.3,381.3,374.6,377.07,1074.51678482
2018-07-12 07:00:00,377.45,377.55,366.85,369.55,3568.65229773
2018-07-12 11:00:00,369.76,373.73,366.22,368.2,10028.36776422
2018-07-12 15:00:00,368.2,371.79,366.17,368.12,2839.71566671
2018-07-12 19:00:00,368.14,371.99,365.07,367.05,3067.14783621
2018-07-12 23:00:00,367.05,369.67,358.01,369.15,11179.75041929
2018-07-13 03:00:00,369.15,375.0,368.58,374.87,3130.62093462
2018-07-13 07:00:00,374.88,375.82,371.37,375.4,1890.93947115
2018-07-13 11:00:00,375.41,376.63,375.1,375.71,2839.25416515
2018-07-13 15:00:00,375.71,379.83,373.44,375.19,3805.33398044
2018-07-13 19:00:00,375.47,377.0,366.83,368.0,5837.76378741
2018-07-13 23:00:00,368.0,370.68,363.53,369.15,2468.98282579
2018-07-14 03:00:00,370.11,372.82,367.94,368.25,897.69297108
