Datetime,Open,High,Low,Close,Volume
2017-03-16 02:00:00,32.51,42.95,30.79,41.0,514851.09301292
2017-03-17 02:00:00,41.0,47.0,31.52,41.44,720356.41363384
2017-03-18 02:00:00,41.44,42.17,28.8,31.0,465201.34188085
2017-03-19 02:00:00,30.98,41.98,30.1,39.62,418758.84752291
2017-03-20 02:00:00,39.92,41.79,37.15,38.7,245732.26964078
2017-03-21 02:00:00,38.7,40.25,38.18,39.09,148451.63718252
2017-03-22 02:00:00,39.1,39.61,35.11,37.79,198276.8098853
2017-03-23 02:00:00,38.18,40.96,37.02,39.85,148061.89968153
2017-03-24 02:00:00,39.98,48.44,39.27,48.1,322787.79668533
2017-03-25 02:00:00,48.39,48.39,43.9,46.1,227030.23197806
2017-03-26 02:00:00,46.1,47.0,44.37,45.98,103261.06236899
2017-03-27 03:00:00,45.99,47.1,44.0,44.69,121013.11325097
2017-03-28 03:00:00,44.69,46.35,44.08,46.14,134521.85382815
2017-03-29 03:00:00,46.19,49.48,45.8,48.75,182215.64364997
2017-03-30 03:00:00,48.75,49.29,47.5,48.1,96727.8129837
2017-03-31 03:00:00,48.1,48.89,44.0,46.41,186508.62184555
2017-04-01 03:00:00,46.41,48.2,45.0,47.14,69377.71930932
2017-04-02 03:00:00,47.25,47.75,44.35,45.03,125949.98035665
2017-04-03 03:00:00,45.03,45.17,40.34,41.28,193365.53231007
2017-04-04 03:00:00,41.28,42.98,38.4,41.37,215975.49028049
2017-04-05 03:00:00,41.49,44.25,41.25,42.22,98348.42380962
2017-04-06 03:00:00,42.22,43.0,38.71,41.02,127897.9568416
2017-04-07 03:00:00,41.02,42.0,39.39,39.66,51817.34377703
2017-04-08 03:00:00,39.98,42.89,39.81,41.68,75771.97888083
2017-04-09 03:00:00,41.83,41.94,40.5,40.94,41868.34180799
2017-04-10 03:00:00,40.94,41.87,40.24,41.16,46619.12707348
2017-04-11 03:00:00,41.13,41.9,41.0,41.1,29625.74985177
2017-04-12 03:00:00,41.15,44.5,40.8,43.4,84342.33588938
2017-04-13 03:00:00,43.4,47.8,43.31,46.85,140236.79877254
2017-04-14 03:00:00,46.85,46.85,43.3,44.58,70934.41128659
2017-04-15 03:00:00,44.39,46.34,43.96,45.58,42957.72700557
2017-04-16 03:00:00,45.58,45.69,44.85,45.41,18728.70303402
2017-04-17 03:00:00,45.41,45.5,44.4,44.66,29226.68774288
2017-04-18 03:00:00,44.66,47.08,44.57,46.55,71337.64576376
2017-04-19 03:00:00,46.45,46.85,44.08,44.69,50885.0347324
2017-04-20 03:00:00,44.71,46.1,44.5,45.9,64242.62523883
2017-04-21 03:00:00,45.89,45.99,44.83,44.91,26283.94345856
2017-04-22 03:00:00,44.91,45.26,44.55,44.91,35283.25548195
2017-04-23 03:00:00,44.73,45.39,44.35,44.64,46795.78341432
2017-04-24 03:00:00,44.8,46.3,44.8,46.02,69797.19710969
2017-04-25 03:00:00,46.02,46.29,45.62,45.84,49558.18900034
2017-04-26 03:00:00,45.75,49.49,45.75,48.33,133014.90061594
2017-04-27 03:00:00,48.57,57.48,47.65,57.2,228424.09157976
2017-04-28 03:00:00,57.18,65.89,56.69,64.59,279546.99731546
2017-04-29 03:00:00,64.98,65.86,60.5,62.38,116675.76379239
2017-04-30 03:00:00,62.39,71.68,62.17,71.0,163206.42607448
2017-05-01 03:00:00,71.0,73.66,61.25,66.65,246098.8489232
2017-05-02 03:00:00,66.65,71.0,66.53,69.4,125359.39238453
2017-05-03 03:00:00,69.6,73.5,68.02,73.2,102035.55113351
2017-05-04 03:00:00,73.19,85.78,72.39,84.71,281281.56907912
2017-05-05 03:00:00,84.96,87.98,78.98,81.29,227204.29376382
2017-05-06 03:00:00,81.41,85.41,80.01,84.99,73460.27624392
2017-05-07 03:00:00,85.18,86.49,71.11,82.49,101028.9580537
2017-05-08 03:00:00,82.5,83.0,76.73,78.77,151339.02765646
2017-05-09 03:00:00,78.9,80.23,67.25,79.42,250752.1225024
2017-05-10 03:00:00,79.46,83.0,76.96,80.39,97503.21659043
2017-05-11 03:00:00,80.38,82.95,79.0,81.33,62380.6955226
2017-05-12 03:00:00,81.1,83.15,77.0,78.21,96944.41068117
2017-05-13 03:00:00,78.2,81.1,76.0,80.74,51453.6090347
2017-05-14 03:00:00,80.74,82.26,80.0,81.3,42907.5117318
2017-05-15 03:00:00,81.3,85.99,81.17,83.65,101629.98860166
2017-05-16 03:00:00,83.38,84.25,79.1,79.75,80400.33498648
2017-05-17 03:00:00,79.75,80.49,75.7,78.82,82275.66469687
2017-05-18 03:00:00,78.82,86.59,78.81,86.14,162480.27294592
2017-05-19 03:00:00,86.04,115.4,84.6,110.85,304672.95289112
2017-05-20 03:00:00,110.79,114.49,107.0,108.19,113418.18765464
2017-05-21 03:00:00,108.19,131.49,107.51,130.3,180243.99921534
2017-05-22 03:00:00,130.3,157.86,120.01,137.12,390903.80841535
2017-05-23 03:00:00,137.0,156.56,129.1,148.88,154693.52659768
2017-05-24 03:00:00,148.88,389.01,94.97,163.19,248573.17294167
2017-05-25 03:00:00,163.19,182.39,139.5,147.55,231131.37010641
2017-05-26 03:00:00,147.67,171.0,129.69,141.45,227648.80043824
2017-05-27 03:00:00,141.45,148.97,101.0,135.9,485515.9759265
2017-05-28 03:00:00,136.27,160.2,135.95,149.19,214564.31078971
2017-05-29 03:00:00,149.19,177.49,143.79,174.99,238070.19229484
2017-05-30 03:00:00,174.67,205.0,166.0,199.97,373694.14953673
2017-05-31 03:00:00,199.97,211.97,188.37,202.5,256847.46626425
2017-06-01 03:00:00,202.5,208.2,185.84,194.0,182961.56320074
2017-06-02 03:00:00,194.85,203.0,193.7,198.14,89589.14064818
2017-06-03 03:00:00,198.01,200.9,195.2,199.65,55066.48486753
2017-06-04 03:00:00,199.94,223.45,199.02,218.74,147315.44400577
2017-06-05 03:00:00,218.56,221.93,214.5,219.78,70567.2771051
2017-06-06 03:00:00,219.77,237.97,216.2,234.2,172308.22696252
2017-06-07 03:00:00,234.2,236.0,222.51,228.35,96387.08690448
2017-06-08 03:00:00,228.48,233.89,223.71,231.89,67413.79560089
2017-06-09 03:00:00,231.89,252.65,231.5,251.0,105850.66213276
2017-06-10 03:00:00,251.0,296.5,251.0,290.8,158873.13013408
2017-06-11 03:00:00,290.79,313.47,275.0,298.03,152539.55115403
2017-06-12 03:00:00,298.03,351.49,276.29,342.96,294931.90921729
2017-06-13 03:00:00,342.77,350.0,318.0,343.0,162175.77242964
2017-06-14 03:00:00,343.0,347.4,291.01,309.69,187260.80428859
2017-06-15 03:00:00,309.6,315.0,250.0,308.46,397999.68103548
2017-06-16 03:00:00,308.05,324.5,286.01,316.49,136539.85968445
2017-06-17 03:00:00,316.49,328.79,305.1,328.04,75672.92918134
2017-06-18 03:00:00,328.04,338.2,304.0,310.59,87617.04946672
2017-06-19 03:00:00,310.59,320.88,306.8,315.89,87785.56208776
2017-06-20 03:00:00,315.56,328.95,297.0,313.1,134255.39988735
2017-06-21 03:00:00,313.1,317.22,258.32,288.44,228437.04116983
2017-06-22 03:00:00,288.44,295.0,276.0,285.44,110276.18779482
2017-06-23 03:00:00,286.38,298.0,282.98,291.39,71291.82506179
2017-06-24 03:00:00,291.49,294.93,268.12,271.0,69686.3996637
2017-06-25 03:00:00,271.0,277.42,223.25,246.11,201311.69073884
2017-06-26 03:00:00,246.12,257.0,186.71,224.17,418349.88168314
2017-06-27 03:00:00,225.0,248.0,187.0,248.0,406262.31656245
2017-06-28 03:00:00,248.0,284.0,227.0,278.09,262587.02628379
2017-06-29 03:00:00,277.46,283.0,250.21,255.92,170131.81984485
2017-06-30 03:00:00,256.49,268.0,235.35,245.2,143968.64916442
2017-07-01 03:00:00,245.2,247.0,219.73,227.84,147452.51862375
2017-07-02 03:00:00,228.46,258.58,221.0,249.56,159510.33720125
2017-07-03 03:00:00,250.39,251.0,237.5,243.8,93811.46615735
2017-07-04 03:00:00,243.8,252.0,234.51,236.99,99914.8915159
2017-07-05 03:00:00,236.81,242.0,225.0,233.98,102399.57644392
2017-07-06 03:00:00,234.38,242.31,229.11,233.55,67993.34104248
2017-07-07 03:00:00,233.57,234.41,207.6,212.49,124100.70427651
2017-07-08 03:00:00,212.49,218.48,203.76,216.0,95390.74815652
2017-07-09 03:00:00,215.99,220.83,208.39,209.0,45123.62810646
2017-07-10 03:00:00,209.0,211.25,177.88,181.57,190655.81156478
2017-07-11 03:00:00,181.57,190.98,151.0,166.59,355993.71065632
2017-07-12 03:00:00,166.59,200.0,160.0,196.23,200399.07594605
2017-07-13 03:00:00,196.9,198.0,170.1,180.34,174842.2734223
2017-07-14 03:00:00,179.73,181.79,161.21,172.58,158704.68111108
2017-07-15 03:00:00,172.58,173.97,147.94,147.94,210234.2716513
2017-07-16 03:00:00,147.77,149.47,117.36,136.03,478615.81075586
2017-07-17 03:00:00,136.03,165.8,134.9,165.3,375428.60995666
2017-07-18 03:00:00,165.3,218.63,155.0,197.73,376748.26724048
2017-07-19 03:00:00,197.73,215.89,164.2,168.0,355283.04442359
